   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
2.8648928e-01 9.4783390e-01 9.6012560e-01 9.6722690e-01 9.7397430e-01 9.8706330e-01 9.8900010e-01
2.8926579e-01 9.4679600e-01 9.5921850e-01 9.6643090e-01 9.7341340e-01 9.8693870e-01 9.8886670e-01
2.9201302e-01 9.4573280e-01 9.5844390e-01 9.6581020e-01 9.7291560e-01 9.8658490e-01 9.8870980e-01
2.9473179e-01 9.4470940e-01 9.5769490e-01 9.6518450e-01 9.7243590e-01 9.8635170e-01 9.8837220e-01
2.9742288e-01 9.4362330e-01 9.5675630e-01 9.6453210e-01 9.7195620e-01 9.8604730e-01 9.8813630e-01
3.0008703e-01 9.4257780e-01 9.5594770e-01 9.6380340e-01 9.7137630e-01 9.8579470e-01 9.8803440e-01
3.0272495e-01 9.4156720e-01 9.5520270e-01 9.6308920e-01 9.7086340e-01 9.8561550e-01 9.8764180e-01
3.0533733e-01 9.4046810e-01 9.5442230e-01 9.6248150e-01 9.7035050e-01 9.8523470e-01 9.8754210e-01
3.0792481e-01 9.3939960e-01 9.5369440e-01 9.6186430e-01 9.6978420e-01 9.8497980e-01 9.8736380e-01
3.1048802e-01 9.3835060e-01 9.5278570e-01 9.6121000e-01 9.6927140e-01 9.8477960e-01 9.8704760e-01
3.1302755e-01 9.3730470e-01 9.5191730e-01 9.6049990e-01 9.6879170e-01 9.8444360e-01 9.8690460e-01
3.1554398e-01 9.3624970e-01 9.5110450e-01 9.5977170e-01 9.6824870e-01 9.8423050e-01 9.8664990e-01
3.1803785e-01 9.3520270e-01 9.5032350e-01 9.5910310e-01 9.6768940e-01 9.8393090e-01 9.8643690e-01
3.2050969e-01 9.3413110e-01 9.4950190e-01 9.5853600e-01 9.6717980e-01 9.8370260e-01 9.8611000e-01
3.2296000e-01 9.3309730e-01 9.4871020e-01 9.5784040e-01 9.6670020e-01 9.8348050e-01 9.8596010e-01
3.2538928e-01 9.3203400e-01 9.4787660e-01 9.5720130e-01 9.6611700e-01 9.8313500e-01 9.8572300e-01
3.2779798e-01 9.3098210e-01 9.4706430e-01 9.5647590e-01 9.6560360e-01 9.8290390e-01 9.8549930e-01
3.3018657e-01 9.2994860e-01 9.4624220e-01 9.5583750e-01 9.6507500e-01 9.8270800e-01 9.8531310e-01
3.3255547e-01 9.2889660e-01 9.4540310e-01 9.5521490e-01 9.6450900e-01 9.8236110e-01 9.8497120e-01
3.3490510e-01 9.2783540e-01 9.4460480e-01 9.5447560e-01 9.6395360e-01 9.8204040e-01 9.8490510e-01
3.3723586e-01 9.2679980e-01 9.4387110e-01 9.5388740e-01 9.6343040e-01 9.8191300e-01 9.8468990e-01
3.3954814e-01 9.2574970e-01 9.4312200e-01 9.5320530e-01 9.6295070e-01 9.8159550e-01 9.8437700e-01
3.4184233e-01 9.2470380e-01 9.4231180e-01 9.5252240e-01 9.6242170e-01 9.8134600e-01 9.8409570e-01
3.4411877e-01 9.2366540e-01 9.4153070e-01 9.5185600e-01 9.6191590e-01 9.8106430e-01 9.8401450e-01
3.4637782e-01 9.2265400e-01 9.4081450e-01 9.5117020e-01 9.6140470e-01 9.8072020e-01 9.8373000e-01
3.4861982e-01 9.2158550e-01 9.3993130e-01 9.5059440e-01 9.6089180e-01 9.8055260e-01 9.8356750e-01
3.5084509e-01 9.2052450e-01 9.3903530e-01 9.4992390e-01 9.6037300e-01 9.8025300e-01 9.8328680e-01
3.5305395e-01 9.1951030e-01 9.3823820e-01 9.4924300e-01 9.5985900e-01 9.8000350e-01 9.8305240e-01
3.5524671e-01 9.1845220e-01 9.3742600e-01 9.4855770e-01 9.5931690e-01 9.7970510e-01 9.8283930e-01
3.5742366e-01 9.1742050e-01 9.3662610e-01 9.4785360e-01 9.5875930e-01 9.7945360e-01 9.8260920e-01
3.5958509e-01 9.1638670e-01 9.3590040e-01 9.4724700e-01 9.5822310e-01 9.7921240e-01 9.8245820e-01
3.6173128e-01 9.1536950e-01 9.3517090e-01 9.4662120e-01 9.5765460e-01 9.7890290e-01 9.8214800e-01
3.6386250e-01 9.1431390e-01 9.3443590e-01 9.4600900e-01 9.5717270e-01 9.7864690e-01 9.8201500e-01
3.6597901e-01 9.1328740e-01 9.3349610e-01 9.4525250e-01 9.5662000e-01 9.7843620e-01 9.8168870e-01
3.6808106e-01 9.1227230e-01 9.3269580e-01 9.4452930e-01 9.5608210e-01 9.7813630e-01 9.8148680e-01
3.7016890e-01 9.1122870e-01 9.3196360e-01 9.4389810e-01 9.5556920e-01 9.7789820e-01 9.8137230e-01
