   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
9.4498015e-02 9.7723540e-01 9.8263590e-01 9.8585140e-01 9.8884410e-01 9.9440040e-01 9.9526200e-01
9.6597404e-02 9.7619280e-01 9.8181870e-01 9.8518960e-01 9.8836350e-01 9.9422690e-01 9.9502570e-01
9.8650046e-02 9.7508360e-01 9.8105180e-01 9.8447460e-01 9.8775670e-01 9.9395090e-01 9.9482770e-01
1.0065880e-01 9.7400880e-01 9.8026160e-01 9.8385240e-01 9.8717110e-01 9.9360840e-01 9.9445140e-01
1.0262625e-01 9.7295010e-01 9.7948220e-01 9.8311780e-01 9.8669100e-01 9.9346660e-01 9.9445140e-01
1.0455472e-01 9.7187140e-01 9.7866070e-01 9.8248430e-01 9.8617140e-01 9.9313970e-01 9.9409630e-01
1.0644633e-01 9.7078900e-01 9.7774740e-01 9.8179270e-01 9.8569140e-01 9.9283950e-01 9.9385640e-01
1.0830301e-01 9.6967720e-01 9.7684000e-01 9.8115060e-01 9.8514320e-01 9.9258990e-01 9.9370630e-01
1.1012653e-01 9.6860890e-01 9.7610300e-01 9.8054320e-01 9.8460940e-01 9.9237930e-01 9.9350130e-01
1.1191851e-01 9.6753390e-01 9.7528780e-01 9.7978070e-01 9.8401230e-01 9.9207180e-01 9.9319200e-01
1.1368044e-01 9.6644550e-01 9.7444460e-01 9.7903730e-01 9.8349510e-01 9.9178020e-01 9.9296290e-01
1.1541370e-01 9.6541820e-01 9.7368300e-01 9.7842340e-01 9.8295060e-01 9.9156920e-01 9.9283130e-01
1.1711956e-01 9.6429660e-01 9.7288670e-01 9.7779370e-01 9.8244500e-01 9.9132930e-01 9.9262980e-01
1.1879920e-01 9.6322010e-01 9.7207270e-01 9.7716500e-01 9.8193060e-01 9.9098110e-01 9.9235140e-01
1.2045371e-01 9.6216820e-01 9.7122350e-01 9.7643330e-01 9.8138860e-01 9.9072080e-01 9.9211640e-01
1.2208413e-01 9.6107280e-01 9.7030060e-01 9.7565230e-01 9.8080830e-01 9.9051590e-01 9.9185620e-01
1.2369140e-01 9.6002060e-01 9.6956730e-01 9.7504520e-01 9.8027510e-01 9.9020860e-01 9.9170350e-01
1.2527641e-01 9.5892630e-01 9.6875070e-01 9.7443320e-01 9.7979510e-01 9.8989010e-01 9.9152130e-01
1.2684000e-01 9.5785800e-01 9.6794670e-01 9.7380620e-01 9.7931510e-01 9.8968370e-01 9.9120830e-01
1.2838295e-01 9.5676250e-01 9.6707490e-01 9.7302930e-01 9.7868940e-01 9.8940450e-01 9.9104140e-01
1.2990599e-01 9.5571250e-01 9.6620700e-01 9.7236650e-01 9.7814500e-01 9.8919010e-01 9.9069490e-01
1.3140983e-01 9.5466400e-01 9.6545370e-01 9.7166180e-01 9.7761550e-01 9.8890800e-01 9.9056700e-01
1.3289510e-01 9.5357020e-01 9.6471790e-01 9.7102210e-01 9.7706780e-01 9.8853840e-01 9.9029790e-01
1.3436243e-01 9.5249850e-01 9.6392370e-01 9.7034150e-01 9.7655450e-01 9.8842590e-01 9.9009980e-01
1.3581239e-01 9.5143220e-01 9.6298010e-01 9.6964350e-01 9.7607450e-01 9.8809820e-01 9.8995550e-01
1.3724554e-01 9.5035510e-01 9.6216880e-01 9.6902630e-01 9.7556300e-01 9.8779660e-01 9.8959520e-01
1.3866240e-01 9.4928350e-01 9.6144070e-01 9.6841700e-01 9.7500500e-01 9.8750980e-01 9.8942130e-01
1.4006347e-01 9.4821830e-01 9.6055840e-01 9.6765630e-01 9.7444290e-01 9.8732940e-01 9.8930750e-01
1.4144920e-01 9.4714450e-01 9.5972030e-01 9.6698100e-01 9.7387940e-01 9.8703240e-01 9.8893740e-01
1.4282006e-01 9.4602850e-01 9.5886140e-01 9.6626350e-01 9.7336160e-01 9.8674650e-01 9.8877340e-01
1.4417646e-01 9.4499100e-01 9.5812370e-01 9.6566200e-01 9.7288160e-01 9.8645270e-01 9.8853550e-01
1.4551880e-01 9.4393860e-01 9.5732210e-01 9.6505360e-01 9.7231690e-01 9.8627930e-01 9.8833490e-01
1.4684748e-01 9.4289080e-01 9.5650400e-01 9.6426110e-01 9.7180360e-01 9.8597680e-01 9.8816190e-01
1.4816286e-01 9.4180630e-01 9.5569520e-01 9.6367660e-01 9.7126360e-01 9.8568620e-01 9.8773980e-01
1.4946529e-01 9.4074560e-01 9.5492420e-01 9.6303390e-01 9.7073360e-01 9.8540030e-01 9.8772340e-01
1.5075511e-01 9.3970100e-01 9.5409820e-01 9.6228200e-01 9.7018590e-01 9.8517400e-01 9.8749370e-01
1.5203263e-01 9.3856470e-01 9.5321470e-01 9.6157950e-01 9.6970590e-01 9.8488590e-01 9.8712830e-01
1.5329817e-01 9.3748310e-01 9.5247970e-01 9.6095100e-01 9.6915000e-01 9.8463290e-01 9.8709240e-01
1.5455202e-01 9.3643600e-01 9.5157550e-01 9.6031680e-01 9.6863550e-01 9.8427960e-01 9.8674850e-01
1.5579446e-01 9.3537310e-01 9.5080160e-01 9.5970490e-01 9.6809110e-01 9.8420980e-01 9.8653330e-01
1.5702577e-01 9.3432560e-01 9.4994500e-01 9.5890900e-01 9.6747730e-01 9.8386740e-01 9.8627970e-01
1.5824620e-01 9.3322350e-01 9.4918260e-01 9.5821610e-01 9.6699730e-01 9.8348760e-01 9.8607430e-01
1.5945600e-01 9.3218940e-01 9.4844780e-01 9.5757960e-01 9.6646050e-01 9.8328120e-01 9.8581840e-01
1.6065541e-01 9.3113370e-01 9.4759280e-01 9.5696410e-01 9.6589580e-01 9.8305530e-01 9.8560390e-01
1.6184467e-01 9.3006350e-01 9.4669300e-01 9.5633280e-01 9.6540960e-01 9.8275500e-01 9.8542640e-01
1.6302399e-01 9.2904290e-01 9.4582450e-01 9.5558880e-01 9.6492960e-01 9.8246910e-01 9.8514630e-01
1.6419360e-01 9.2795130e-01 9.4507800e-01 9.5491730e-01 9.6438120e-01 9.8225850e-01 9.8500880e-01
1.6535369e-01 9.2688940e-01 9.4434900e-01 9.5425270e-01 9.6379510e-01 9.8196550e-01 9.8474790e-01
1.6650446e-01 9.2586460e-01 9.4357130e-01 9.5359510e-01 9.6324740e-01 9.8165700e-01 9.8460570e-01
1.6764611e-01 9.2480030e-01 9.4271290e-01 9.5297330e-01 9.6268860e-01 9.8144840e-01 9.8419820e-01
1.6877883e-01 9.2374120e-01 9.4193700e-01 9.5227640e-01 9.6220860e-01 9.8120850e-01 9.8411690e-01
1.6990278e-01 9.2266420e-01 9.4104610e-01 9.5154920e-01 9.6172850e-01 9.8089750e-01 9.8386050e-01
1.7101815e-01 9.2162350e-01 9.4023950e-01 9.5093490e-01 9.6124850e-01 9.8056980e-01 9.8362390e-01
1.7212510e-01 9.2055990e-01 9.3938070e-01 9.5030050e-01 9.6065480e-01 9.8039510e-01 9.8339170e-01
1.7322379e-01 9.1951120e-01 9.3858480e-01 9.4961990e-01 9.6011770e-01 9.8008780e-01 9.8319850e-01
1.7431438e-01 9.1845630e-01 9.3785150e-01 9.4894150e-01 9.5954480e-01 9.7980560e-01 9.8287820e-01
1.7539701e-01 9.1742270e-01 9.3706420e-01 9.4819800e-01 9.5901450e-01 9.7959930e-01 9.8264880e-01
1.7647185e-01 9.1635610e-01 9.3627820e-01 9.4755780e-01 9.5850260e-01 9.7925590e-01 9.8258700e-01
1.7753902e-01 9.1529730e-01 9.3543980e-01 9.4694470e-01 9.5798940e-01 9.7908020e-01 9.8227060e-01
1.7859866e-01 9.1426400e-01 9.3464080e-01 9.4629610e-01 9.5750900e-01 9.7877790e-01 9.8203730e-01
1.7965091e-01 9.1320760e-01 9.3391170e-01 9.4567190e-01 9.5694510e-01 9.7844470e-01 9.8177850e-01
1.8069590e-01 9.1214830e-01 9.3302100e-01 9.4503410e-01 9.5641910e-01 9.7825530e-01 9.8157830e-01
1.8173375e-01 9.1111250e-01 9.3219680e-01 9.4425290e-01 9.5584570e-01 9.7795050e-01 9.8141020e-01
1.8276459e-01 9.1006790e-01 9.3124730e-01 9.4349440e-01 9.5535950e-01 9.7767580e-01 9.8110000e-01
1.8378853e-01 9.0901890e-01 9.3052000e-01 9.4292930e-01 9.5487950e-01 9.7742530e-01 9.8093040e-01
1.8480568e-01 9.0796270e-01 9.2978810e-01 9.4233110e-01 9.5436690e-01 9.7713230e-01 9.8073160e-01
1.8581616e-01 9.0693940e-01 9.2899240e-01 9.4172700e-01 9.5385290e-01 9.7688760e-01 9.8037130e-01
1.8682008e-01 9.0591390e-01 9.2823820e-01 9.4101160e-01 9.5323030e-01 9.7659790e-01 9.8033540e-01
1.8781754e-01 9.0484390e-01 9.2737820e-01 9.4025070e-01 9.5266280e-01 9.7636820e-01 9.7997610e-01
1.8880864e-01 9.0383480e-01 9.2658410e-01 9.3957370e-01 9.5211800e-01 9.7603880e-01 9.7979700e-01
1.8979349e-01 9.0276130e-01 9.2577350e-01 9.3894760e-01 9.5163800e-01 9.7585600e-01 9.7965690e-01
1.9077217e-01 9.0174760e-01 9.2504350e-01 9.3838250e-01 9.5115800e-01 9.7552920e-01 9.7938260e-01
1.9174479e-01 9.0068350e-01 9.2431430e-01 9.3776540e-01 9.5066030e-01 9.7528800e-01 9.7916390e-01
1.9271144e-01 8.9965610e-01 9.2342410e-01 9.3697120e-01 9.5013460e-01 9.7496990e-01 9.7892760e-01
1.9367220e-01 8.9860440e-01 9.2250490e-01 9.3629450e-01 9.4957090e-01 9.7472640e-01 9.7869030e-01
1.9462717e-01 8.9756920e-01 9.2166380e-01 9.3565570e-01 9.4905830e-01 9.7451210e-01 9.7851600e-01
1.9557642e-01 8.9653580e-01 9.2093960e-01 9.3505110e-01 9.4853860e-01 9.7416730e-01 9.7831610e-01
1.9652005e-01 8.9551520e-01 9.2020900e-01 9.3441450e-01 9.4800110e-01 9.7397210e-01 9.7797540e-01
1.9745812e-01 8.9446480e-01 9.1940680e-01 9.3367410e-01 9.4745930e-01 9.7370790e-01 9.7782320e-01
1.9839073e-01 8.9344650e-01 9.1860510e-01 9.3299890e-01 9.4697920e-01 9.7336450e-01 9.7751490e-01
1.9931794e-01 8.9243660e-01 9.1774120e-01 9.3235070e-01 9.4643430e-01 9.7316200e-01 9.7736390e-01
2.0023984e-01 8.9142580e-01 9.1694950e-01 9.3175600e-01 9.4590730e-01 9.7290660e-01 9.7722820e-01
2.0115648e-01 8.9040140e-01 9.1620040e-01 9.3111630e-01 9.4536260e-01 9.7255840e-01 9.7685050e-01
2.0206796e-01 8.8935740e-01 9.1541030e-01 9.3042270e-01 9.4485990e-01 9.7230970e-01 9.7668750e-01
2.0297433e-01 8.8833690e-01 9.1466620e-01 9.2977790e-01 9.4436140e-01 9.7209080e-01 9.7647040e-01
2.0387567e-01 8.8731120e-01 9.1386780e-01 9.2902980e-01 9.4385580e-01 9.7179290e-01 9.7625540e-01
2.0477203e-01 8.8627880e-01 9.1314030e-01 9.2844080e-01 9.4333150e-01 9.7150610e-01 9.7597690e-01
2.0566350e-01 8.8526850e-01 9.1235940e-01 9.2785290e-01 9.4284920e-01 9.7121540e-01 9.7579620e-01
2.0655012e-01 8.8421970e-01 9.1148160e-01 9.2715280e-01 9.4223850e-01 9.7104290e-01 9.7550980e-01
2.0743196e-01 8.8320420e-01 9.1066460e-01 9.2649300e-01 9.4169100e-01 9.7077670e-01 9.7538180e-01
2.0830908e-01 8.8216470e-01 9.0975810e-01 9.2586930e-01 9.4121090e-01 9.7044900e-01 9.7513180e-01
2.0918155e-01 8.8113490e-01 9.0896020e-01 9.2512530e-01 9.4069130e-01 9.7011960e-01 9.7484770e-01
2.1004941e-01 8.8014430e-01 9.0823720e-01 9.2456020e-01 9.4021130e-01 9.6989680e-01 9.7470600e-01
2.1091273e-01 8.7911880e-01 9.0738660e-01 9.2382280e-01 9.3967470e-01 9.6967560e-01 9.7438840e-01
2.1177156e-01 8.7810060e-01 9.0665730e-01 9.2319440e-01 9.3913460e-01 9.6938940e-01 9.7429810e-01
2.1262596e-01 8.7709640e-01 9.0593370e-01 9.2259840e-01 9.3862060e-01 9.6909640e-01 9.7389550e-01
2.1347598e-01 8.7606630e-01 9.0512610e-01 9.2187200e-01 9.3809250e-01 9.6880350e-01 9.7381410e-01
2.1432167e-01 8.7505570e-01 9.0440200e-01 9.2129950e-01 9.3757810e-01 9.6862920e-01 9.7360740e-01
2.1516308e-01 8.7403710e-01 9.0351380e-01 9.2056730e-01 9.3704260e-01 9.6827590e-01 9.7321910e-01
2.1600026e-01 8.7303850e-01 9.0279000e-01 9.1993310e-01 9.3646120e-01 9.6802520e-01 9.7311380e-01
2.1683327e-01 8.7203320e-01 9.0200430e-01 9.1929810e-01 9.3596940e-01 9.6775340e-01 9.7294530e-01
2.1766214e-01 8.7099660e-01 9.0127400e-01 9.1863960e-01 9.3545560e-01 9.6747910e-01 9.7255470e-01
2.1848693e-01 8.6996280e-01 9.0032810e-01 9.1798880e-01 9.3495000e-01 9.6718750e-01 9.7237100e-01
2.1930768e-01 8.6898420e-01 8.9951720e-01 9.1729090e-01 9.3443600e-01 9.6697770e-01 9.7221230e-01
2.2012444e-01 8.6797950e-01 8.9877130e-01 9.1663930e-01 9.3394050e-01 9.6662950e-01 9.7195970e-01
2.2093725e-01 8.6697070e-01 8.9804320e-01 9.1601510e-01 9.3342610e-01 9.6638330e-01 9.7175950e-01
2.2174616e-01 8.6595960e-01 8.9731920e-01 9.1543240e-01 9.3294550e-01 9.6621730e-01 9.7148520e-01
2.2255121e-01 8.6493470e-01 8.9646480e-01 9.1474150e-01 9.3237620e-01 9.6583840e-01 9.7128120e-01
2.2335243e-01 8.6393680e-01 8.9557840e-01 9.1408430e-01 9.3183330e-01 9.6553600e-01 9.7103030e-01
2.2414987e-01 8.6293550e-01 8.9480350e-01 9.1343640e-01 9.3131380e-01 9.6536040e-01 9.7080670e-01
2.2494358e-01 8.6192440e-01 8.9406060e-01 9.1279230e-01 9.3079980e-01 9.6507580e-01 9.7060690e-01
2.2573359e-01 8.6092010e-01 8.9330790e-01 9.1208450e-01 9.3023380e-01 9.6481900e-01 9.7041880e-01
2.2651993e-01 8.5988780e-01 8.9257860e-01 9.1146900e-01 9.2970390e-01 9.6443780e-01 9.7015880e-01
2.2730265e-01 8.5892900e-01 8.9184780e-01 9.1086130e-01 9.2920160e-01 9.6423340e-01 9.6993480e-01
2.2808179e-01 8.5794630e-01 8.9095880e-01 9.1012840e-01 9.2867540e-01 9.6400780e-01 9.6962460e-01
2.2885738e-01 8.5692200e-01 8.9022120e-01 9.0950110e-01 9.2815870e-01 9.6366440e-01 9.6946650e-01
2.2962945e-01 8.5592390e-01 8.8942970e-01 9.0890380e-01 9.2764650e-01 9.6342330e-01 9.6927280e-01
2.3039804e-01 8.5494930e-01 8.8867960e-01 9.0823910e-01 9.2716650e-01 9.6313960e-01 9.6901310e-01
2.3116320e-01 8.5390690e-01 8.8784380e-01 9.0755990e-01 9.2661990e-01 9.6286530e-01 9.6872310e-01
2.3192494e-01 8.5291720e-01 8.8709170e-01 9.0690470e-01 9.2609880e-01 9.6261810e-01 9.6860840e-01
2.3268331e-01 8.5194290e-01 8.8628030e-01 9.0622840e-01 9.2555110e-01 9.6231820e-01 9.6835810e-01
2.3343833e-01 8.5094120e-01 8.8548980e-01 9.0560420e-01 9.2507110e-01 9.6201890e-01 9.6805880e-01
2.3419005e-01 8.4993580e-01 8.8476380e-01 9.0494540e-01 9.2452050e-01 9.6176250e-01 9.6797960e-01
2.3493848e-01 8.4890570e-01 8.8403470e-01 9.0433790e-01 9.2397710e-01 9.6152230e-01 9.6759980e-01
2.3568367e-01 8.4794210e-01 8.8326140e-01 9.0365820e-01 9.2349710e-01 9.6116810e-01 9.6746370e-01
2.3642564e-01 8.4695400e-01 8.8249950e-01 9.0302040e-01 9.2296540e-01 9.6092310e-01 9.6718390e-01
2.3716443e-01 8.4593700e-01 8.8163770e-01 9.0237250e-01 9.2251230e-01 9.6071030e-01 9.6700470e-01
2.3790006e-01 8.4494730e-01 8.8083220e-01 9.0174190e-01 9.2201680e-01 9.6041630e-01 9.6681580e-01
2.3863256e-01 8.4397480e-01 8.8003980e-01 9.0104520e-01 9.2144820e-01 9.6011480e-01 9.6649110e-01
2.3936196e-01 8.4295580e-01 8.7931670e-01 9.0045030e-01 9.2093420e-01 9.5984200e-01 9.6640970e-01
2.4008829e-01 8.4197190e-01 8.7846260e-01 8.9971710e-01 9.2034820e-01 9.5961680e-01 9.6599810e-01
2.4081158e-01 8.4099370e-01 8.7770160e-01 8.9908330e-01 9.1983490e-01 9.5934830e-01 9.6586010e-01
2.4153185e-01 8.3998120e-01 8.7698260e-01 8.9851820e-01 9.1935490e-01 9.5896720e-01 9.6567830e-01
2.4224914e-01 8.3902240e-01 8.7621280e-01 8.9790500e-01 9.1880480e-01 9.5877080e-01 9.6532170e-01
2.4296346e-01 8.3801210e-01 8.7545290e-01 8.9715910e-01 9.1829290e-01 9.5847080e-01 9.6512870e-01
2.4367484e-01 8.3701440e-01 8.7449330e-01 8.9647790e-01 9.1779710e-01 9.5813890e-01 9.6494160e-01
2.4438332e-01 8.3602750e-01 8.7373200e-01 8.9586160e-01 9.1725170e-01 9.5800660e-01 9.6465730e-01
2.4508891e-01 8.3502330e-01 8.7298650e-01 8.9517950e-01 9.1671460e-01 9.5766890e-01 9.6453360e-01
2.4579164e-01 8.3404230e-01 8.7226750e-01 8.9457490e-01 9.1619490e-01 9.5732070e-01 9.6411670e-01
2.4649153e-01 8.3306150e-01 8.7149770e-01 8.9397230e-01 9.1571490e-01 9.5706770e-01 9.6404970e-01
2.4718861e-01 8.3208250e-01 8.7070020e-01 8.9331760e-01 9.1520090e-01 9.5682910e-01 9.6372790e-01
2.4788291e-01 8.3107560e-01 8.6991270e-01 8.9260980e-01 9.1468830e-01 9.5654500e-01 9.6345470e-01
2.4857444e-01 8.3009470e-01 8.6909560e-01 8.9197500e-01 9.1414560e-01 9.5622490e-01 9.6338530e-01
2.4926322e-01 8.2908570e-01 8.6835360e-01 8.9126940e-01 9.1365010e-01 9.5601450e-01 9.6306590e-01
2.4994929e-01 8.2812490e-01 8.6763040e-01 8.9068500e-01 9.1305110e-01 9.5571760e-01 9.6279030e-01
2.5063266e-01 8.2713250e-01 8.6679500e-01 8.9000700e-01 9.1251150e-01 9.5542360e-01 9.6262820e-01
2.5131336e-01 8.2612860e-01 8.6604150e-01 8.8933430e-01 9.1199400e-01 9.5517420e-01 9.6237520e-01
2.5199140e-01 8.2519060e-01 8.6526980e-01 8.8869140e-01 9.1151390e-01 9.5481990e-01 9.6219520e-01
2.5266682e-01 8.2418420e-01 8.6455100e-01 8.8807550e-01 9.1099990e-01 9.5461610e-01 9.6194970e-01
2.5333962e-01 8.2317730e-01 8.6381180e-01 8.8746970e-01 9.1051990e-01 9.5427840e-01 9.6172730e-01
2.5400983e-01 8.2223810e-01 8.6301820e-01 8.8680490e-01 9.0997910e-01 9.5402560e-01 9.6135460e-01
2.5467747e-01 8.2122000e-01 8.6221100e-01 8.8601190e-01 9.0936010e-01 9.5373240e-01 9.6122260e-01
2.5534256e-01 8.2026630e-01 8.6148490e-01 8.8544180e-01 9.0884680e-01 9.5347710e-01 9.6104870e-01
2.5600513e-01 8.1924040e-01 8.6064370e-01 8.8479280e-01 9.0833280e-01 9.5315770e-01 9.6072750e-01
2.5666518e-01 8.1825450e-01 8.5974740e-01 8.8416010e-01 9.0782150e-01 9.5288170e-01 9.6057510e-01
2.5732274e-01 8.1728180e-01 8.5896060e-01 8.8356070e-01 9.0730130e-01 9.5262740e-01 9.6017780e-01
2.5797783e-01 8.1629220e-01 8.5822900e-01 8.8293210e-01 9.0680960e-01 9.5228010e-01 9.6011600e-01
2.5863047e-01 8.1529950e-01 8.5733430e-01 8.8212070e-01 9.0626390e-01 9.5208740e-01 9.5977890e-01
2.5928067e-01 8.1435240e-01 8.5658220e-01 8.8149990e-01 9.0574580e-01 9.5178360e-01 9.5962080e-01
2.5992846e-01 8.1333770e-01 8.5585490e-01 8.8092570e-01 9.0518510e-01 9.5142940e-01 9.5932180e-01
2.6057385e-01 8.1236500e-01 8.5511620e-01 8.8026420e-01 9.0467120e-01 9.5117730e-01 9.5908660e-01
2.6121686e-01 8.1138050e-01 8.5440110e-01 8.7964580e-01 9.0418550e-01 9.5097260e-01 9.5890580e-01
2.6185751e-01 8.1040300e-01 8.5364820e-01 8.7895300e-01 9.0358000e-01 9.5063740e-01 9.5862900e-01
2.6249581e-01 8.0945590e-01 8.5291070e-01 8.7828820e-01 9.0306910e-01 9.5030800e-01 9.5839240e-01
2.6313179e-01 8.0842090e-01 8.5202460e-01 8.7757050e-01 9.0255750e-01 9.5005760e-01 9.5821510e-01
2.6376545e-01 8.0747160e-01 8.5123400e-01 8.7699800e-01 9.0204760e-01 9.4975840e-01 9.5795320e-01
2.6439682e-01 8.0646570e-01 8.5042620e-01 8.7635300e-01 9.0151770e-01 9.4956620e-01 9.5778090e-01
2.6502591e-01 8.0547610e-01 8.4966900e-01 8.7567880e-01 9.0100370e-01 9.4922760e-01 9.5753880e-01
2.6565273e-01 8.0452600e-01 8.4895090e-01 8.7503890e-01 9.0048010e-01 9.4890080e-01 9.5718590e-01
2.6627731e-01 8.0353870e-01 8.4818090e-01 8.7435620e-01 8.9995820e-01 9.4866160e-01 9.5704370e-01
2.6689967e-01 8.0255160e-01 8.4739490e-01 8.7370310e-01 8.9945260e-01 9.4836020e-01 9.5672660e-01
2.6751980e-01 8.0160610e-01 8.4660130e-01 8.7304180e-01 8.9891880e-01 9.4808830e-01 9.5659080e-01
2.6813774e-01 8.0058870e-01 8.4578000e-01 8.7240230e-01 8.9837290e-01 9.4781330e-01 9.5615230e-01
2.6875349e-01 7.9963730e-01 8.4503230e-01 8.7174530e-01 8.9779060e-01 9.4750250e-01 9.5613160e-01
2.6936707e-01 7.9862640e-01 8.4423950e-01 8.7112380e-01 8.9727660e-01 9.4720000e-01 9.5577810e-01
2.6997850e-01 7.9766330e-01 8.4347490e-01 8.7044900e-01 8.9676570e-01 9.4690690e-01 9.5555730e-01
2.7058779e-01 7.9670190e-01 8.4269390e-01 8.6976580e-01 8.9624560e-01 9.4661680e-01 9.5538590e-01
2.7119495e-01 7.9571240e-01 8.4197030e-01 8.6916830e-01 8.9573410e-01 9.4636090e-01 9.5502310e-01
2.7180000e-01 7.9469680e-01 8.4105930e-01 8.6843090e-01 8.9519660e-01 9.4607630e-01 9.5489290e-01
2.7240295e-01 7.9373170e-01 8.4024490e-01 8.6779840e-01 8.9467490e-01 9.4578470e-01 9.5470860e-01
2.7300382e-01 7.9274020e-01 8.3948030e-01 8.6715070e-01 8.9414280e-01 9.4547490e-01 9.5435880e-01
2.7360262e-01 7.9177960e-01 8.3875870e-01 8.6653660e-01 8.9356300e-01 9.4521850e-01 9.5413310e-01
2.7419937e-01 7.9080930e-01 8.3796840e-01 8.6583280e-01 8.9304900e-01 9.4487130e-01 9.5388430e-01
2.7479407e-01 7.8982620e-01 8.3721070e-01 8.6515250e-01 8.9250950e-01 9.4467130e-01 9.5353800e-01
2.7538674e-01 7.8883180e-01 8.3641580e-01 8.6449370e-01 8.9202950e-01 9.4428920e-01 9.5340440e-01
2.7597740e-01 7.8785920e-01 8.3559760e-01 8.6385240e-01 8.9152390e-01 9.4400300e-01 9.5320580e-01
2.7656605e-01 7.8688980e-01 8.3485350e-01 8.6324260e-01 8.9096670e-01 9.4370070e-01 9.5289010e-01
2.7715272e-01 7.8591480e-01 8.3408080e-01 8.6255570e-01 8.9037100e-01 9.4348500e-01 9.5264670e-01
2.7773740e-01 7.8493470e-01 8.3331140e-01 8.6185860e-01 8.8989090e-01 9.4318860e-01 9.5247650e-01
2.7832012e-01 7.8394160e-01 8.3250050e-01 8.6122290e-01 8.8933920e-01 9.4289100e-01 9.5213080e-01
2.7890088e-01 7.8297600e-01 8.3173700e-01 8.6050580e-01 8.8877600e-01 9.4254370e-01 9.5188150e-01
2.7947971e-01 7.8199800e-01 8.3093550e-01 8.5993890e-01 8.8826340e-01 9.4226780e-01 9.5180410e-01
2.8005660e-01 7.8103160e-01 8.3015550e-01 8.5935090e-01 8.8778340e-01 9.4200620e-01 9.5140370e-01
2.8063158e-01 7.8004370e-01 8.2926300e-01 8.5853530e-01 8.8724330e-01 9.4170150e-01 9.5127000e-01
2.8120465e-01 7.7904760e-01 8.2852350e-01 8.5788430e-01 8.8669170e-01 9.4138040e-01 9.5100850e-01
2.8177583e-01 7.7808010e-01 8.2776960e-01 8.5723420e-01 8.8614620e-01 9.4108150e-01 9.5076530e-01
2.8234513e-01 7.7709720e-01 8.2703200e-01 8.5662740e-01 8.8560340e-01 9.4081540e-01 9.5047430e-01
2.8291255e-01 7.7611640e-01 8.2630530e-01 8.5599520e-01 8.8506410e-01 9.4047990e-01 9.5023640e-01
