   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
0.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00
2.0253711e-02 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00
2.8635907e-02 9.9894930e-01 9.9922950e-01 9.9939340e-01 9.9952000e-01 9.9987100e-01 9.9971990e-01
3.5062902e-02 9.9783280e-01 9.9830360e-01 9.9869230e-01 9.9900500e-01 9.9948900e-01 9.9956490e-01
4.0477014e-02 9.9674350e-01 9.9754720e-01 9.9805240e-01 9.9849180e-01 9.9922190e-01 9.9924020e-01
4.5243340e-02 9.9569020e-01 9.9669900e-01 9.9731900e-01 9.9801170e-01 9.9902880e-01 9.9907200e-01
4.9549172e-02 9.9455250e-01 9.9586210e-01 9.9664200e-01 9.9738010e-01 9.9871550e-01 9.9872640e-01
5.3505801e-02 9.9344230e-01 9.9506190e-01 9.9594370e-01 9.9680900e-01 9.9851040e-01 9.9859230e-01
5.7185755e-02 9.9236840e-01 9.9431820e-01 9.9533840e-01 9.9629640e-01 9.9818270e-01 9.9846050e-01
6.0639427e-02 9.9130110e-01 9.9346850e-01 9.9469360e-01 9.9578190e-01 9.9791740e-01 9.9801790e-01
6.3903514e-02 9.9022030e-01 9.9256810e-01 9.9397810e-01 9.9527050e-01 9.9763050e-01 9.9798070e-01
6.7005729e-02 9.8910560e-01 9.9168720e-01 9.9326720e-01 9.9479050e-01 9.9740790e-01 9.9771770e-01
6.9967606e-02 9.8806160e-01 9.9092440e-01 9.9259730e-01 9.9414620e-01 9.9716040e-01 9.9745190e-01
7.2806275e-02 9.8695930e-01 9.9010110e-01 9.9194070e-01 9.9362950e-01 9.9686730e-01 9.9725780e-01
7.5535628e-02 9.8590750e-01 9.8932100e-01 9.9132620e-01 9.9312390e-01 9.9651910e-01 9.9702640e-01
7.8167116e-02 9.8482580e-01 9.8840340e-01 9.9060060e-01 9.9261200e-01 9.9631110e-01 9.9685680e-01
8.0710312e-02 9.8370870e-01 9.8761850e-01 9.8984890e-01 9.9209090e-01 9.9608920e-01 9.9663060e-01
8.3173317e-02 9.8264180e-01 9.8686900e-01 9.8918250e-01 9.9156430e-01 9.9575270e-01 9.9635210e-01
8.5563054e-02 9.8158010e-01 9.8613590e-01 9.8857680e-01 9.9091850e-01 9.9552340e-01 9.9614190e-01
8.7885503e-02 9.8049410e-01 9.8529720e-01 9.8791700e-01 9.9043330e-01 9.9529720e-01 9.9585700e-01
9.0145862e-02 9.7941690e-01 9.8422680e-01 9.8723520e-01 9.8992010e-01 9.9491600e-01 9.9563720e-01
9.2348692e-02 9.7829480e-01 9.8344920e-01 9.8649500e-01 9.8935850e-01 9.9478150e-01 9.9553040e-01
